客户触发,我方回复
合同里差旅部分价格有明细吗 万一涉及到可以按照单价来结算,差旅没有固定的呢~~一般都是按实际支出结算的
空了电话我一下哈,同传框架回复了哦，条款ok 板子的联系上了，我先和厂里确认下，可否局部替换
还是要1.7w？ 和上次没啥区别好像,我这边统计，文字内容比上次多很多呢 按字数报价的，上次是1.5W字， 这次统计要3W字
引用：收到了哦，翻译标准是按7月参考的文件来判断是吧；对的 参考7月 尽快一下 然后翻译需要多久？ 上次价格有点高哦,嗯嗯，我先给翻译部的老师看下7月参考的文字，看下是不是上次我理解的母语级别太高了
还是找之前翻译过的做了 快一点 而且便宜很多,哦哦，我能大概问问，对方报多少字数哇， 很担心我们的统计姑娘是不是字数统计多了，直接导致报价高了
OK 那你报价也发我一下吧 我转给我们同事看下,好滴，发邮件哦 对了，昨天问的那个母语翻译的，同事有消息哇。 或者我是不是可以直接和使用人沟通下需求呢
大致什么个样子？你的照片发我看一下吗？然后他想要做成什么样的？ 尺寸多少,很便宜了，要先除旧P墙，再定制安装 5.2M*3M 就是原来的字去掉之后，会有脱落，需要先安排一轮师傅把这块墙重新批了 然后再定制新的字，安装上去。 需要上门2波完成 大概就这样滴情况
他在下PO了。然后我正好要确认一下，你上周去汶水路那边看板，看的怎么样？ 多少钱 那么贵啊,好的，汶水路那里看好了，报价她让我直接发给她，她走PO流程哈 一共3500
早上去进博会邮件收到了吧 有点贵哦,嗯嗯，收到了哦， 老师Book好了哈 请问下下，工作笔记本的报价还合适吗 [偷笑] 看来这块，我们价格没有优势
我昨天笔记本，它的需求有了更新，然后你这边报价能尽快发我一下吗？,好呀 我在休假中 尽快回复哦
她目前是60000未税金额 能保住 那这样，你给我一个分项，完了之后的最终的盖章的报价单。然后邮件抄送他一下，到时候我下单的时候，就按照你最新的这个报价去下。 这样的话正好的 然后邮件你让他确认一下，确认的话，我到时候下单，我就把你们的邮件作为附件上传。然后下的金额是包含在他的预算内的，但是附上的报价和他原来一开始付的是不一样的。,这个可以分开PO哇， 一共是60000+6000，60000未税不够。 6000的PR部门反馈上周五已申请，估计在审批什么的，还要个几天吧。 2张盖章的报价单稍等发邮件哈
后面没有其他增项或者变更对吧,有增项的，她们那边说再补一个PR 6K的增项
14-16的pr来了 总金额多少未税价格 好的那对的,看下哦 金额6W，未税56603.78
或者andy 你有他微信吗,没有Andy微信，刚加了Wendy的， 下次碰头Andy我试着加一下[偷笑]
那这三个你一起回复吧报价 然后在我邮件基础上再抄送一下wendy sun 邮件里写一下三天报价,嗯嗯，谢谢提醒哈， 我先确定下人员，尽快回复报价哦
另外两个需求还在更新 不能哦,引用：epd没中；回复：哦哦，是价格贵了哇 能了解下大概差多少哇，争取下次有机会合作，报的是15400
就我视频里的 我也不懂是什么纸哎 挺厚的蛮有质感的,哈哈，帮忙看看封套白色的地方，有没有纹路之类的 视频有点看不清
完全不考虑分开 太麻烦了 就想一条龙全权委托,嗯嗯，好嘞，那个封套有没有具体要求呀
你没做过还是留一点余地 纸张比较特殊的,哦哦，好呀~~谢谢亲帮忙提醒我 听你这么说，估计去年印的挑战蛮大滴[偷笑]
在四点半前可以吗,艺术纸的报价估计来不及，我先把普通的这个调整下上机打样的发出哈 艺术纸报价发出了，请查收下哦
这些不用翻译了 应该是客户自己翻译好了,7353*0.28=5882元
量倒是不多，是客户培训的讲解稿 类似这样的，一共有3个,不多那就可以安排母语润色下哈 不过中译英字数 是看字符数不计空格那栏 不是字数 字数是英译中 看单词的 大概是2035*0.8=1628元
要专业的给老外看的，可能需要有一定工程方面的专业知识，因为客户是车企,如果是这样 最好是翻译完后给外籍母语润色下 这个费用要高些 常规中译英是 280元/千字中文字符 翻译完后母语润色是 800元/千字中文字符 文件有吗 你可以发我看看 大概什么样子的 量什么的
我想问问你中译英的报价呀,怎么样类型的呢 看看用 还是专业的给老外看的 这个区别大
?案例，查收。刚刚电话里跟您也大概说了沙盘的分解和动态的内容，有问题随时沟通。 [抱拳] 不包含,我刚刚问了一下我同事，红框的部分是我们自己的设备，我们有建模，别的设备是一些常规的，也是第三方的，没有建模 这个费用会有变化吗
上午好，孙老师。可以，没问题。我们是专业的，二十多年了，阅读工厂。我正好待会有两个会，你看我稍后拉个群，让我们的项目经理具体来负责这个事，好不好？让他这边提供您这边一对一的服务。 稍等哈 动态的工业设备的沙盘模型，大小约2500L x 1000Wmm 是的，上门安装调试? 收到。没问题的，我们专业沙盘设计制作服务，从概念到落地全流程服务至今已有23年了，稍后我发进来一些案例您看下。?盛总，方便通话吗？1-2分钟时间沟通下。 上海顺恒模型许宏瑞18616956025[抱拳],你刚才报给我费用包括设计部分吗
如果是我们设计建模图，确定好之前的时间，不算工期里面哈，因为设计，确认，调整，前期沟通也要时间,恩恩，明白 后期安装什么的也都是你们对伐
幸会！您好！很高兴认识您！ 上海顺恒模型制作有限公司 许如兵：15021113931?? 可以弄 可以啊,我想做一个动态的工业设备的沙盘模型，大小约2500L x 1000Wmm 这是我在人家展台拍下来的。就想做类似的，可以吗 我们想做的是，要呈现整个产品包装的一个流程，包含存储和拣选，还有些有机器人装箱的流程之类的.我想先了解下预算和制作周期，还有我需要准备什么东西
都需要建模图，没有我们也要建模,恩恩，反正你们是可以弄的对伐
主要是abs材质 灯光没问题，会有生产线导向流动灯光，加氛围灯光 在上海嘉定 可以的,我给你看看我们的那些个机器的实物哦，你看看可以呈现吗
我们可以建模，但是也要有设计费,引用：[视频]；回复：你这个是什么材质，我估计我里面还有点灯光
这个沙盘没有你说的尺寸大，当时做的是5万多 最好有建模图 能看到每个位置的角度,我估计我同事不会弄到那么细
动态的模型价格都不会太低 正常制作周期是30天 不知道你们预算有多少 6万左右,你可以根据我的尺寸和目前的这种效果给我个报价吗 我前期除了图纸还需要提供什么给你们吗
这可以做，常规动态 有设计图纸嘛,我同事在做CAD，说是还没有渲染过 我想先了解下预算和制作周期
能发些资料吗，沙盘内容是什么样 动态可以做,我给你看下我想作的样子哦 这是我在人家展台拍下来的。 然后我们想做的是，要呈现整个产品包装的一个流程，包含存储和拣选，还有些有机器人装箱的流程之类的
我是锋 羽??科技模型,你好，我是在1688上找到你们的 我有个工业设备的沙盘要做 是动态的 大小约2500L x 1000Wmm
是年前要完成的是吧 嗯嗯，好的,第一季度计划要出来 应该我们第一次做这个，前期批预算肯定还要走段时间流程
主要就是动态的数量和动态的表现方式，是升降还是平移 好的，,应该都是平移，我再补充下，明天告诉你
需要加动态区域和数量好像没有明确， 嗯，好的,其余的都是一些常规的东西，如果你们有现成的，就算稍有不同也不要紧 引用：需要加动态区域和数量好像没有明确，；回复：我更新下 还有啥，我一起写给你
您图纸资料和要求发下 我看下哈,我整理了下要求，主要详细说明了那个区域的动线，之前我理解的有点问题 你看下还需要补充什么
盛总，有反馈消息您说下哦。 嗯嗯，好的,要下周会有回复，昨天和国外碰过这件事。目前我们国内提供了2家报价，他们国外自己找了一家，还在收集报价中。下周会汇总起来内部大家在过一下
其实就两个文件 链接: https://pan.baidu.com/s/10DZ-NPQb3BWjQ3jtrriRqA?pwd=1qqg 提取码: 1qqg 后面一本的中文设计文件 这本要翻译，内容可能和之前那本350的有重叠，麻烦看一下没有翻过的部分做翻译,"引用：[Single-Bond-Universal_TPP_CEE-LA-APAC_PDF.pdf]；回复：第一个文件15开始，那个中文参考都没有。英文40页。中文10页。差距大。 这是一条引用/回复消息： ""[图片]"" ------ 后面这些数据都没有的，大头 一起翻译了吧，一样的我会叫翻译仔细核对的。"
加上前面有中文的哈 emm… 全翻吧,嗯呢 有的还不一样 我大概看了下 有些一样的 反正会给你最终的舒万诺绿色得
Customer Feedback后面保留 你再算一下 你看看什么时候可以给我内容哦 对的。,这几页开始加上 +前14
已经申请了。。。 客户对瓶子的满意度和整体满意度可以保留,引用：已经申请了。。。；回复：太speed了
先帮我调整前面15页吧,那你叫Sherry先别申请PO 我去改下报价单 引用：[Single-Bond-Universal-TradeUp-Comparison-Sheet-CEE.pdf]；回复：这个有原始文件吗
